layer,signal,dataset,period,risk_level,risk_label,n,n20,avg20,median20,win20,right_tail20_rate,n60,avg60,median60,win60,right_tail60_rate,notes
regime_family,c1_c2,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,15,13,0.12102616095132168,0.10449808110940517,0.6153846153846154,0.38461538461538464,5,0.07944136141338429,-0.15791727298892916,0.4,0.2,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,21,18,0.15653162488276132,0.10458712080051125,0.6666666666666666,0.2777777777777778,7,0.5285407600291387,0.6934651109492422,0.8571428571428571,0.7142857142857143,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,61,45,0.0021457199857808844,-0.05360622096492823,0.4666666666666667,0.2,22,-0.07268119478715761,-0.23845454456308415,0.36363636363636365,0.09090909090909091,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,117,114,0.0014265421628701326,-0.014742342921817243,0.43859649122807015,0.09649122807017543,110,0.026339851331406792,-0.03156407443125788,0.4090909090909091,0.06363636363636363,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,69,67,0.02926653201318186,-0.0055855688840334775,0.4626865671641791,0.19402985074626866,59,0.06540076577147036,-0.0017464485591409118,0.4745762711864407,0.06779661016949153,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,73,70,0.0582261185205972,0.007774936667435461,0.5285714285714286,0.15714285714285714,59,0.12778668812357477,0.01054121675773452,0.5084745762711864,0.15254237288135594,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,223,206,0.04505188113964956,0.004470020233461755,0.5097087378640777,0.16019417475728157,183,0.07487539284080263,-0.014880595024104527,0.453551912568306,0.12568306010928962,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,22,22,-0.022463393635231917,-0.046606565587132914,0.36363636363636365,0.09090909090909091,22,0.01752567025119486,-0.09008397863595406,0.2727272727272727,0.09090909090909091,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,19,19,0.07145975341479849,-0.0016124217763871032,0.47368421052631576,0.2631578947368421,19,0.10160472089290473,0.05986497847671468,0.5263157894736842,0.10526315789473684,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,32,32,0.039372974677521974,0.001684265017780951,0.5,0.09375,32,0.08755302896318398,-0.07612780128897592,0.4375,0.09375,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,60,59,0.05910067362265685,-0.008982617528835016,0.423728813559322,0.23728813559322035,59,0.12946630225867217,-0.029440775734636937,0.4745762711864407,0.2033898305084746,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,6,5,0.2601059983978919,0.3033916240268708,0.8,0.8,2,0.23902325682865952,0.23902325682865952,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,11,9,0.20269386162053726,0.20089212519058974,0.7777777777777778,0.5555555555555556,3,0.35359523685584904,0.34468175708943805,0.6666666666666666,0.3333333333333333,risk levels from P2-6 draft; dedup_prefer_adjusted only
