date,stock_id,stock_name,industry_category,price_mode,candidate,close,avg_amount_20d,range_pos,gap1,gap2,ret_20d,days_since_max_volume,top5_volume_ratio_120,signal_day_ret_1d,next_open_gap,t1_open_excess_20d,t1_open_excess_60d,risk_signal_day_gt9,risk_next_gap_gt3,risk_liquidity_lt100m,is_main_spec,is_weak_momentum,is_floor15_observation,is_high_open_risk,is_low_liquidity_risk,momentum_bucket_zh,strategy_role_zh,research_priority_zh,research_tags,source_type,ret_60d_signal,ret60_cap150_pass,top1_to_top3_volume_ratio,top1_to_top5_volume_ratio,top1_to_top10_volume_ratio,volume_gap_risk_zh,volgap_subtype_zh,volgap_score_impact,risk_daily_long_ma_bear,risk_weekly_long_ma_bear,risk_any_long_ma_bear,risk_long_ma_score,risk_badge_zh
2026-05-13,3036,文曄,電子通路業,raw,A_repo50_c4_40_fixed20,284.0,2895617292.15,1.0,0.1045611015490532,0.1461100569259961,0.2483516483516483,46.0,0.5868448750055403,0.0308529945553539,0.0140845070422535,-0.2325488200474275,,False,False,False,True,False,True,False,False,中段15-25%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,0.8146964856230032,True,1.3948923837390972,1.704027831870491,2.2885241983891538,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-13,3036,文曄,電子通路業,adjusted,A_repo50_c4_40_fixed20,276.116726,2895617292.15,1.0,0.1045611005191651,0.1461100561626536,0.2483516505972942,46.0,0.5868448750055403,0.030852994785727,0.0140845071442718,-0.2095002294191836,,False,False,False,True,False,True,False,False,中段15-25%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-13,3036,文曄,電子通路業,raw,B_magic_c4_40_fixed20,284.0,2895617292.15,1.0,0.1045611015490532,0.1461100569259961,0.2483516483516483,46.0,0.5868448750055403,0.0308529945553539,0.0140845070422535,-0.2325488200474275,,False,False,False,False,False,False,False,False,中段15-25%,寬基準觀察,規格觀察,非主規格,reconstructed,0.8146964856230032,True,1.3948923837390972,1.704027831870491,2.2885241983891538,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-13,3036,文曄,電子通路業,adjusted,B_magic_c4_40_fixed20,276.116726,2895617292.15,1.0,0.1045611005191651,0.1461100561626536,0.2483516505972942,46.0,0.5868448750055403,0.030852994785727,0.0140845071442718,-0.2095002294191836,,False,False,False,False,False,False,False,False,中段15-25%,寬基準觀察,規格觀察,非主規格,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-13,3036,文曄,電子通路業,raw,C_c4_25_fixed20,284.0,2895617292.15,1.0,0.1045611015490532,0.1461100569259961,0.2483516483516483,46.0,0.5868448750055403,0.0308529945553539,0.0140845070422535,-0.2325488200474275,,False,False,False,False,False,False,False,False,中段15-25%,高濃度觀察,規格觀察,高濃度,reconstructed,0.8146964856230032,True,1.3948923837390972,1.704027831870491,2.2885241983891538,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-13,3036,文曄,電子通路業,adjusted,C_c4_25_fixed20,276.116726,2895617292.15,1.0,0.1045611005191651,0.1461100561626536,0.2483516505972942,46.0,0.5868448750055403,0.030852994785727,0.0140845071442718,-0.2095002294191836,,False,False,False,False,False,False,False,False,中段15-25%,高濃度觀察,規格觀察,高濃度,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-08,1809,中釉,玻璃陶瓷,raw,A_repo50_c4_40_fixed20,36.0,251804674.2,1.0,0.1177773990114197,0.1612217795484727,0.3846153846153846,32.0,0.606705702640496,0.0434782608695651,0.0069444444444444,0.4384973043036904,,False,False,False,True,False,True,False,False,高動能30-40%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,0.4784394250513346,True,1.2394304958261846,1.6482455919695729,2.6928419310943896,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-08,1809,中釉,玻璃陶瓷,adjusted,A_repo50_c4_40_fixed20,36.0,251804674.2,1.0,0.1177773990114197,0.1612217795484727,0.3846153846153846,32.0,0.606705702640496,0.0434782608695651,0.0069444444444444,0.4384973043036904,,False,False,False,True,False,True,False,False,高動能30-40%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-08,1809,中釉,玻璃陶瓷,raw,B_magic_c4_40_fixed20,36.0,251804674.2,1.0,0.1177773990114197,0.1612217795484727,0.3846153846153846,32.0,0.606705702640496,0.0434782608695651,0.0069444444444444,0.4384973043036904,,False,False,False,False,False,False,False,False,高動能30-40%,寬基準觀察,規格觀察,非主規格,reconstructed,0.4784394250513346,True,1.2394304958261846,1.6482455919695729,2.6928419310943896,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-08,1809,中釉,玻璃陶瓷,adjusted,B_magic_c4_40_fixed20,36.0,251804674.2,1.0,0.1177773990114197,0.1612217795484727,0.3846153846153846,32.0,0.606705702640496,0.0434782608695651,0.0069444444444444,0.4384973043036904,,False,False,False,False,False,False,False,False,高動能30-40%,寬基準觀察,規格觀察,非主規格,reconstructed,,,,,,待補,待補,0,,,,0,研究中
