price_mode,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3,score_20d
adj,magic_repo60_c425_c5gt3_regime,17,16,0.2065676846707864,0.13241297965884863,0.6875,10,0.15314180228297103,-0.0820796611980584,0.4,0.17647058823529413,0.0,0.17416297965884864
adj,magic_c425_c5gt5_regime,38,37,0.12609768453774395,0.0639338341271076,0.6216216216216216,24,0.10994411659499513,0.05956186051235225,0.5416666666666666,0.15789473684210525,0.05263157894736842,0.09775815845143192
adj,magic_repo40_c425_c5gt5_regime,32,31,0.14640338064725691,0.0639338341271076,0.6451612903225806,19,0.09306386045501316,-0.0062420494071877,0.47368421052631576,0.15625,0.03125,0.10096609219162372
adj,magic_repo50_c425_c5gt5_regime,25,24,0.17469965574554544,0.09711369626144224,0.6666666666666666,14,0.12100221067871196,0.012636254520019999,0.5,0.16,0.04,0.13669702959477556
adj,magic_repo60_c425_c5gt5_regime,17,16,0.2065676846707864,0.13241297965884863,0.6875,10,0.15314180228297103,-0.0820796611980584,0.4,0.17647058823529413,0.0,0.17416297965884864
adj,magic_c425_c5gt8_regime,38,37,0.12609768453774395,0.0639338341271076,0.6216216216216216,24,0.10994411659499513,0.05956186051235225,0.5416666666666666,0.15789473684210525,0.05263157894736842,0.09775815845143192
adj,magic_repo40_c425_c5gt8_regime,32,31,0.14640338064725691,0.0639338341271076,0.6451612903225806,19,0.09306386045501316,-0.0062420494071877,0.47368421052631576,0.15625,0.03125,0.10096609219162372
adj,magic_repo50_c425_c5gt8_regime,25,24,0.17469965574554544,0.09711369626144224,0.6666666666666666,14,0.12100221067871196,0.012636254520019999,0.5,0.16,0.04,0.13669702959477556
adj,magic_repo60_c425_c5gt8_regime,17,16,0.2065676846707864,0.13241297965884863,0.6875,10,0.15314180228297103,-0.0820796611980584,0.4,0.17647058823529413,0.0,0.17416297965884864
adj,magic_c440_c5gt3_regime,70,66,0.10626106259583352,0.05488039770411485,0.5606060606060606,46,0.10670367682606241,0.006290660732044651,0.5,0.2857142857142857,0.17142857142857143,0.08450160982532696
adj,magic_repo40_c440_c5gt3_regime,59,55,0.1258740734909476,0.0639338341271076,0.5818181818181818,37,0.11582459642209525,-0.0180719603846988,0.4594594594594595,0.288135593220339,0.1694915254237288,0.09504747049074395
adj,magic_repo50_c440_c5gt3_regime,47,44,0.15208129120447883,0.08143798086682899,0.6136363636363636,29,0.16887891699398686,0.018823370871277,0.5172413793103449,0.2553191489361702,0.14893617021276595,0.11591525359410172
adj,magic_repo60_c440_c5gt3_regime,32,29,0.1909294065744244,0.0886193862734387,0.6551724137931034,21,0.2107476857828502,-0.0062420494071877,0.47619047619047616,0.3125,0.15625,0.12765386903205939
adj,magic_c440_c5gt5_regime,69,65,0.11062812043889564,0.0639338341271076,0.5692307692307692,45,0.11069944335218208,0.018823370871277,0.5111111111111111,0.2898550724637681,0.17391304347826086,0.09502998797326144
